flight_id,fuel_usage,maintenance_check,baggage_errors,safety_incidents
FL9484-351,17918.908457190824,0,2,0
FL2488-597,15706.820898585085,1,8,0
FL9616-272,9714.479294446624,0,1,0
FL5554-485,10796.648571375015,0,6,0
FL8526-638,13369.245972049774,1,2,0
FL3085-803,6105.691364242068,0,3,0
FL4890-541,13141.352878879992,1,1,0
FL7201-748,19356.67965212051,1,8,0
FL9836-978,14117.112664413517,1,4,0
FL9937-343,6737.792731450005,1,5,0
FL8403-268,17015.816920366662,0,6,0
FL3084-835,16424.84927339579,1,3,0
FL3704-913,19387.158877969385,1,3,0
FL2159-923,7544.108705842165,1,6,0
FL4048-203,6629.346346557306,1,5,0
FL7492-485,19100.38629232644,1,4,1
FL8473-881,17389.008872455983,1,4,0
FL3568-720,8512.577757931676,1,7,2
FL9699-180,8290.55154687589,0,2,2
FL5641-797,17173.211775553937,1,5,0
FL7370-206,12528.766351739143,0,1,1
FL2928-649,13238.85227549168,1,6,0
FL4792-506,19542.675763108207,1,5,0
FL1016-967,15199.098983527281,0,3,0
FL8011-475,13672.472138605459,1,5,0
FL3926-195,6321.434065799252,1,3,0
FL2600-395,14988.65855946562,0,1,0
FL4890-617,15479.411318435674,0,3,0
FL6187-389,13850.334791262978,0,3,1
FL4857-397,13550.74703518055,1,5,0
FL4579-421,7194.8579916452,1,4,0
FL2445-781,14939.837238978054,0,6,0
FL5461-748,18442.70936162357,1,3,0
FL9319-880,18290.065191723057,0,1,0
FL5656-661,5686.514183441697,1,7,1
FL9364-800,6979.25856174048,0,2,0
FL2389-599,18684.845250869053,1,4,0
FL2275-373,9663.043867771634,1,2,0
FL9936-484,6726.982368893308,1,5,0
FL5054-568,7633.486645889632,1,3,0
FL5409-852,13903.094736689145,0,3,0
FL2241-400,17754.849800976117,0,2,0
FL4097-277,6524.72176942043,0,2,0
FL2423-937,6643.1656241590845,0,3,2
FL8238-524,13566.917020434137,0,5,0
FL7939-624,9869.116342235224,1,8,0
FL7542-175,18643.65547618579,1,8,0
FL2304-358,11804.812285843273,0,2,0
FL4949-143,10481.405836178936,0,3,0
FL9575-113,17078.608208702084,0,4,0
FL1469-488,15751.971048984682,0,7,0
FL2135-191,15409.84367347511,1,7,0
FL5318-297,6118.01783949459,0,2,0
FL7876-421,7926.869262795557,1,3,0
FL8313-690,16721.525776052644,1,5,0
FL3374-237,11895.903613352271,0,3,0
FL9893-986,11928.315309761769,0,4,0
FL2933-354,17445.381813909145,1,4,0
FL1252-758,9395.554957395389,0,2,0
FL8526-742,9138.365559577087,0,5,0
FL5152-637,17725.19886272126,0,5,0
FL5299-777,11126.763126977738,0,4,0
FL7607-935,17257.842197316466,1,8,0
FL5223-943,8852.462170653049,1,5,0
FL8104-743,10536.723333932137,0,5,1
FL3063-247,14944.330875668644,1,6,0
FL9039-845,13128.082326894415,1,5,0
FL3938-183,10133.27425238247,1,7,0
FL7100-198,18463.03610751607,1,4,2
FL9303-160,11895.852156880326,1,3,0
FL7567-254,7067.494695346687,1,2,0
FL1883-642,9119.317962008008,1,4,1
