flight_id,passenger_count,seat_occupancy,customer_satisfaction,catering_score,entertainment_score,cabin_crew_score
FL9484-351,218,0.96,3,3,5,3
FL2488-597,277,0.92,4,5,5,3
FL9616-272,157,0.99,5,5,3,5
FL5554-485,250,0.9,5,5,3,4
FL8526-638,188,0.97,3,4,4,5
FL3085-803,164,1.0,4,3,4,5
FL4890-541,195,0.92,4,3,4,3
FL7201-748,283,0.92,4,3,3,3
FL9836-978,153,0.99,4,5,3,5
FL9937-343,292,0.98,4,3,3,5
FL8403-268,218,0.98,4,3,5,4
FL3084-835,239,0.97,4,3,5,3
FL3704-913,255,0.97,3,3,3,4
FL2159-923,298,0.9,5,5,4,3
FL4048-203,252,0.97,5,3,3,4
FL7492-485,193,0.95,5,5,3,3
FL8473-881,182,0.91,4,4,3,5
FL3568-720,280,0.92,5,4,5,3
FL9699-180,210,0.97,3,3,5,4
FL5641-797,217,0.96,5,4,3,4
FL7370-206,196,0.9,5,3,4,5
FL2928-649,250,0.99,3,3,4,4
FL4792-506,170,0.95,3,5,4,4
FL1016-967,291,0.94,5,4,3,3
FL8011-475,174,1.0,3,5,3,4
FL3926-195,226,0.97,5,4,5,5
FL2600-395,194,0.99,3,4,3,4
FL4890-617,229,0.9,4,5,4,3
FL6187-389,252,0.92,4,4,3,5
FL4857-397,281,1.0,4,3,5,5
FL4579-421,179,0.98,3,4,5,4
FL2445-781,228,0.92,5,5,5,4
FL5461-748,174,1.0,5,4,5,3
FL9319-880,186,0.9,5,3,5,5
FL5656-661,274,0.9,4,5,5,4
FL9364-800,175,0.92,4,5,3,3
FL2389-599,173,0.95,5,5,4,5
FL2275-373,192,0.91,5,5,5,4
FL9936-484,215,0.9,5,5,5,5
FL5054-568,176,0.94,3,4,3,3
FL5409-852,181,0.92,4,3,4,4
FL2241-400,188,0.91,5,5,4,3
FL4097-277,195,0.91,3,4,5,4
FL2423-937,231,0.91,5,4,3,3
FL8238-524,179,0.94,4,5,5,5
FL7939-624,268,0.95,4,4,3,3
FL7542-175,279,0.98,5,5,4,4
FL2304-358,247,0.9,3,3,5,4
FL4949-143,204,0.91,3,4,3,4
FL9575-113,158,0.96,5,4,4,5
FL1469-488,273,0.99,4,3,4,4
FL2135-191,241,0.91,4,4,4,3
FL5318-297,242,0.92,4,4,5,5
FL7876-421,252,0.9,3,4,3,3
FL8313-690,217,0.92,5,3,3,3
FL3374-237,183,0.95,3,3,5,3
FL9893-986,186,0.9,4,5,5,3
FL2933-354,229,0.91,5,3,3,3
FL1252-758,203,0.95,5,4,4,4
FL8526-742,206,0.94,3,3,5,4
FL5152-637,286,0.95,5,5,3,5
FL5299-777,151,0.94,3,3,4,3
FL7607-935,279,0.97,4,3,5,3
FL5223-943,173,0.98,3,3,3,3
FL8104-743,198,0.9,5,3,3,4
FL3063-247,263,1.0,3,4,5,5
FL9039-845,282,0.95,4,5,3,4
FL3938-183,260,0.92,4,3,4,3
FL7100-198,235,0.97,5,5,4,5
FL9303-160,207,0.95,3,5,3,3
FL7567-254,198,0.98,3,3,3,4
FL1883-642,200,0.9,3,5,5,5
FL6180-893,288,0.9,4,4,3,5
FL6770-263,265,0.91,4,5,5,3
FL3164-261,276,1.0,5,3,3,4
FL3600-769,241,1.0,5,5,5,5
FL4457-798,260,1.0,4,4,3,3
FL4989-363,231,0.99,3,3,5,3
FL6278-401,193,0.99,4,5,4,5
FL6825-441,212,1.0,4,3,5,3
FL5743-304,285,0.91,4,5,4,3
FL4049-163,153,0.92,4,5,3,5
FL9571-590,197,0.94,3,4,3,5
FL2836-999,270,0.94,5,4,4,5
FL5779-803,298,0.93,4,4,4,4
FL2939-748,206,0.98,3,3,5,3
FL1152-375,240,0.9,5,5,5,5
FL5390-173,269,0.95,3,5,4,5
FL7600-101,253,0.98,3,4,4,3
FL2233-676,220,0.99,4,3,4,5
FL6819-646,208,0.99,5,4,5,3
FL4250-920,260,0.91,5,3,4,3
FL7007-522,153,0.98,5,3,3,4
FL9898-621,170,0.96,5,5,4,5
FL2661-778,222,0.93,4,5,5,4
FL2295-330,290,0.95,3,5,3,3
FL8148-662,233,0.96,5,3,3,4
FL9190-407,295,1.0,5,3,3,5
FL6068-776,217,0.9,3,3,4,3
FL2570-862,284,0.94,4,5,3,5
FL9469-711,223,0.94,4,5,4,4
FL8625-146,176,0.91,3,4,5,3
FL8435-869,189,0.9,5,5,5,4
FL6665-123,176,0.98,4,3,3,3
FL7736-498,180,0.98,5,5,3,5
FL2113-564,247,0.91,5,5,5,5
FL2882-712,275,0.96,3,5,5,5
FL9942-569,222,0.9,4,5,4,5
FL8462-491,283,0.97,4,4,3,3
FL2578-301,185,0.94,4,4,3,4
FL6837-359,200,0.97,3,5,5,3
FL1727-887,297,0.95,5,5,3,3
FL4587-943,198,0.97,3,3,4,3
FL5185-198,250,0.97,4,3,3,5
FL2611-176,225,0.98,5,4,3,3
FL4569-822,209,0.93,4,3,3,3
FL2269-298,164,0.9,4,5,5,5
FL2983-686,208,0.92,5,4,3,4
FL8411-843,270,0.92,4,3,5,3
FL2331-900,289,0.96,4,5,4,4
FL4441-811,205,0.9,4,5,3,5
FL6787-708,180,1.0,3,5,3,5
FL8507-674,273,1.0,3,5,3,4
FL4125-697,249,0.97,3,3,5,4
FL8181-866,191,0.97,4,3,5,3
FL8630-427,296,0.94,5,4,5,3
FL1140-144,280,0.92,3,3,4,3
FL8960-870,205,0.91,5,3,3,5
FL4516-484,242,0.92,5,3,5,5
FL2276-117,254,0.98,3,3,4,4
FL8819-326,189,0.93,3,4,4,4
FL4360-743,276,0.97,5,3,3,4
FL4751-478,226,0.9,4,3,3,3
FL3879-918,229,0.93,5,4,3,4
FL4237-232,167,0.93,4,5,4,4
FL3966-847,222,0.99,5,5,4,3
FL3576-869,224,0.97,4,4,4,4
FL3182-774,152,0.94,4,5,3,4
FL6168-546,167,0.98,4,5,5,4
FL6430-832,175,0.98,3,3,5,4
FL7211-483,234,0.94,4,5,5,5
FL7225-495,204,0.91,5,5,3,4
FL7003-159,274,0.9,5,3,3,3
FL2510-166,202,0.97,3,4,5,5
FL4375-367,280,0.98,4,5,4,5
FL6115-580,238,0.95,5,5,3,4
FL7358-748,241,0.94,5,3,5,5
FL4535-255,211,0.95,4,4,5,5
FL5699-902,233,0.97,4,3,4,4
FL1926-189,176,0.99,5,3,5,4
FL5871-858,182,0.96,5,3,3,4
FL7812-175,292,0.94,4,4,3,4
FL6254-254,283,0.93,3,4,5,3
FL2863-508,217,0.91,5,5,4,4
FL1209-980,150,0.94,3,5,5,3
FL5679-647,161,0.98,5,5,5,3
FL7416-948,176,0.93,4,4,3,5
FL7369-136,289,0.92,5,3,4,5
