flight_id,airline,flight_number,aircraft_type,departure_airport,arrival_airport,scheduled_departure_time,actual_departure_time,scheduled_arrival_time,actual_arrival_time,gate,terminal,created_at
FL9484-351,United Airlines,219,Boeing 777,ORD,LAX,2024-04-08 20:05:45,2024-04-08 19:55:45,2024-04-08 22:05:45,2024-04-08 22:16:45,B7,2,2024-05-30 22:53:08
FL2488-597,Southwest Airlines,200,Boeing 777,ATL,JFK,2024-03-31 22:05:54,2024-03-31 22:18:54,2024-04-01 00:05:54,2024-03-31 23:22:54,B10,3,2024-02-15 15:27:18
FL9616-272,JetBlue Airways,506,Boeing 777,LAX,SFO,2024-03-29 22:44:02,2024-03-29 22:02:02,2024-03-30 00:44:02,2024-03-30 00:17:02,C12,1,2024-02-10 09:06:51
FL5554-485,Southwest Airlines,844,Boeing 737,ORD,ATL,2024-03-14 23:45:42,2024-03-15 00:12:42,2024-03-15 01:45:42,2024-03-15 01:13:42,B1,3,2024-07-01 00:17:41
FL8526-638,JetBlue Airways,345,Boeing 737,ORD,LAX,2024-01-19 20:48:59,2024-01-19 20:38:59,2024-01-19 22:48:59,2024-01-19 22:54:59,C3,1,2024-05-23 03:12:56
FL3085-803,United Airlines,617,Boeing 777,SFO,JFK,2024-03-24 02:08:45,2024-03-24 01:56:45,2024-03-24 04:08:45,2024-03-24 04:05:45,A3,2,2024-03-10 00:50:15
FL4890-541,American Airlines,704,Airbus A320,LAX,SFO,2024-01-18 00:43:51,2024-01-18 00:32:51,2024-01-18 02:43:51,2024-01-18 02:09:51,B6,2,2024-02-01 14:41:34
FL7201-748,American Airlines,532,Boeing 777,ORD,LAX,2024-06-18 17:09:54,2024-06-18 17:16:54,2024-06-18 19:09:54,2024-06-18 19:06:54,A5,2,2024-03-20 08:00:35
FL9836-978,JetBlue Airways,564,Boeing 777,ORD,JFK,2024-02-04 12:44:24,2024-02-04 13:00:24,2024-02-04 14:44:24,2024-02-04 14:57:24,B13,4,2024-04-09 18:53:00
FL9937-343,Southwest Airlines,398,Boeing 737,SFO,ORD,2024-03-04 11:04:03,2024-03-04 11:28:03,2024-03-04 13:04:03,2024-03-04 13:49:03,B6,4,2024-04-25 11:38:29
FL8403-268,JetBlue Airways,957,Boeing 777,SFO,SFO,2024-01-03 08:35:49,2024-01-03 08:23:49,2024-01-03 10:35:49,2024-01-03 09:57:49,A4,3,2024-06-18 00:13:33
FL3084-835,American Airlines,176,Boeing 777,LAX,JFK,2024-03-27 21:18:57,2024-03-27 21:18:57,2024-03-27 23:18:57,2024-03-27 23:24:57,B12,2,2024-04-09 04:11:54
FL3704-913,United Airlines,211,Boeing 737,SFO,JFK,2024-03-08 20:09:24,2024-03-08 20:22:24,2024-03-08 22:09:24,2024-03-08 22:13:24,B14,1,2024-03-20 15:08:01
FL2159-923,Delta Air Lines,661,Boeing 737,JFK,SFO,2024-03-29 13:05:08,2024-03-29 13:01:08,2024-03-29 15:05:08,2024-03-29 15:39:08,B10,4,2024-01-10 09:44:07
FL4048-203,Southwest Airlines,542,Boeing 777,ATL,ORD,2024-07-04 15:52:14,2024-07-04 15:39:14,2024-07-04 17:52:14,2024-07-04 18:24:14,A13,1,2024-03-16 14:55:11
