id,user_id,session_id,ip_address,city,state,browser,traffic_source,uri,event_type
1854484,65079,03cd3cad-99e8-4cce-a3ca-e7498bf730de,112.40.194.0,Tianjin,Liaoning,Firefox,Organic,/cancel,cancel
1822041,48474,54d4fa70-4baa-4b3f-a5b2-3c5acdec6781,215.107.45.172,Tianjin,Shanghai,Chrome,Email,/cancel,cancel
1481573,73714,ffbed0dc-8f35-47b4-a229-738f9d9494fd,51.228.47.204,Quanzhou,Shanghai,Chrome,YouTube,/cancel,cancel
1794691,14102,919f1d10-1e20-471b-930f-46b9c350108b,199.227.71.243,Köln,Nordrhein-Westfalen,Other,Email,/cancel,cancel
1745700,66523,852f4959-34df-49cc-a5ab-219565bb15b8,137.98.162.51,São Luís,Maranhão,Chrome Mobile,Adwords,/cancel,cancel
2137524,81630,c20e5cb1-f7e7-45d5-af35-3b018cc8c9cf,136.221.90.173,Concórdia do Pará,Pará,Chrome Mobile,Email,/cancel,cancel
1935720,62631,432fb2cc-9891-4071-a361-a7d6c1429f86,115.247.167.136,,Pará,Firefox Mobile,Adwords,/cancel,cancel
1065038,27782,b78152e8-15df-473b-80e3-6de8c9b65146,52.72.42.179,Mairiporã,São Paulo,Chrome,Facebook,/cart,cart
870743,28796,5f4f29ec-7aeb-4020-b5c3-06265b410661,36.6.247.40,Caieiras,São Paulo,IE,Email,/cart,cart
185097,28516,8d6122cf-ba50-4e6d-a367-4d01a32abde5,118.210.90.213,Cajamar,São Paulo,IE,Email,/cart,cart
795398,3577,c9b6a883-2a09-4ccb-9ed3-b659dc4e17f0,207.16.179.216,Huludao,Beijing,Chrome Mobile,Email,/cart,cart
426348,20946,d4212049-164a-4d9b-9f52-7769cff8eb0a,50.136.137.166,Chaoyang,Beijing,Firefox,Adwords,/cart,cart
654438,39582,8a91df27-0481-46fd-8b9b-6f249a8d3bcc,162.32.144.176,Wenzhou,Beijing,Chrome,YouTube,/cart,cart
869123,21651,ade33ae9-72a2-40c8-b9c9-c6053100c212,203.42.124.177,New York,New York,Chrome Mobile,Organic,/cart,cart
239679,86653,3c82c565-91dc-4fa0-b901-91b8c11b2975,144.178.157.62,Tokyo,Tokyo,Firefox Mobile,YouTube,/cart,cart
976769,9056,2dbd30ea-fc01-42fb-bb86-7f9a2c970911,55.78.103.110,New York,New York,IE Mobile,YouTube,/cart,cart
1047933,56019,d8067aa9-dd28-46c4-8e12-bfa693f5cb87,210.174.147.126,Putian,Liaoning,Firefox,Email,/cart,cart
865930,66952,ee0de059-c626-4db5-99d3-25a542dff8aa,203.93.194.48,Chipiona,Andalucía,Safari,YouTube,/cart,cart
956291,52902,d1a0168b-bea2-4165-b73c-20c66e0adf53,219.60.17.51,East Patchogue,New York,Safari,Adwords,/cart,cart
969443,27115,56092877-a24b-427b-aa2a-0d9a7f9d8a04,87.195.73.126,Seoul,Seoul,Chrome Mobile,Adwords,/cart,cart
969404,48781,0153494b-4447-4a7e-b9c1-b7f52537af3d,26.26.22.74,Seoul,Seoul,Firefox,Adwords,/cart,cart
969395,30280,0153494b-4447-4a7e-b9c1-b7f52537af3d,26.26.22.74,Seoul,Seoul,Firefox Mobile,Adwords,/cart,cart
953875,62380,484f2b0f-0faa-4813-99f3-8c6adbe2ebb4,74.158.148.202,Dongguan,Liaoning,Chrome Mobile,Email,/cart,cart
953872,8321,484f2b0f-0faa-4813-99f3-8c6adbe2ebb4,74.158.148.202,Dongguan,Liaoning,Chrome,Email,/cart,cart
1227228,33631,0f0f4582-7c9f-4353-ab29-f695c3372fa9,18.33.8.158,Berlin,Berlin,Chrome,Email,/cart,cart
1227231,57397,0f0f4582-7c9f-4353-ab29-f695c3372fa9,18.33.8.158,Berlin,Berlin,Chrome,Email,/cart,cart
730769,18950,c6312a4c-7ee9-4107-91b5-eaf5bda9ae6e,31.80.87.204,Marseille,Provence-Alpes-Côte d'Azur,Safari Mobile,Email,/cart,cart
628580,54830,a1c9918f-09ae-4e63-b9b2-f335cb6ed513,195.164.156.31,Seoul,Seoul,Firefox,YouTube,/cart,cart
19144,82344,59c60ef0-2dee-40bf-8dbe-7396a88f8c3a,21.121.227.38,Shenzhen,Jilin,Chrome,Adwords,/cart,cart
496158,12729,5b10cb77-9fd5-47b0-8dd5-59a4ea711c5a,26.79.113.166,Seoul,Seoul,Chrome Mobile,Facebook,/cart,cart
743872,53656,094679bc-be67-4165-8abd-6afd7f9c6239,189.84.63.151,Seoul,Seoul,Chrome,Email,/cart,cart
747809,51142,b17d04d1-3afb-4900-8be0-b9a8313edb8d,81.191.90.67,Jinhua,Heilongjiang,Firefox Mobile,Adwords,/cart,cart
1613231,45421,9056a8f8-e41a-4978-8f44-52248d6db16d,158.108.8.144,Mirassol,São Paulo,Chrome Mobile,Organic,/cart,cart
292158,24544,f344fac7-8489-460e-841d-56c1dab2efc0,169.245.47.142,Chengdu,Heilongjiang,Chrome,Email,/cart,cart
292194,20416,a08c5c1d-7adc-4894-9c15-51694e1e1820,174.189.168.166,Chengdu,Heilongjiang,Chrome,Adwords,/cart,cart
292184,72838,2abebd1e-063c-497b-9c8a-e76e35c55a70,202.188.157.191,Chengdu,Heilongjiang,Chrome,Email,/cart,cart
932201,42200,3a9686db-c82f-4f22-870a-e19970237e3b,36.187.118.12,Seoul,Seoul,Chrome,Email,/cart,cart
1215019,6192,bc3d6a04-91cd-4a6b-a515-6a2ffbcbddee,172.179.38.29,Tokyo,Tokyo,Chrome Mobile,YouTube,/cart,cart
1215026,57745,62aad2c5-019a-4ff3-9241-e363e7231037,193.129.253.218,Tokyo,Tokyo,Chrome,Adwords,/cart,cart
615561,96250,6b64f076-0dce-48a5-a72a-325fa6139358,209.80.179.215,Itapeva,São Paulo,Firefox,Facebook,/cart,cart
615548,5796,3a88b2e4-843f-4e3c-b702-d14fc5041be8,39.56.210.5,Itapeva,São Paulo,IE Mobile,Email,/cart,cart
615545,13920,3a88b2e4-843f-4e3c-b702-d14fc5041be8,39.56.210.5,Itapeva,São Paulo,IE,Email,/cart,cart
365942,84267,de241320-3cfa-4217-b20b-fd1bbd35e6a2,93.53.202.207,Lowell,Massachusetts,Chrome Mobile,Email,/cart,cart
976012,93791,65237661-5ad9-4e67-ac74-c034f6c05a97,19.5.38.101,Xiaoping City,Tokyo,Chrome,Email,/cart,cart
1075817,73213,d6a932ca-332c-4ae8-ae91-f9a6c5dc77a4,189.75.131.2,Jiaxing,Shanghai,Chrome Mobile,Facebook,/cart,cart
108526,80572,50145ed4-d0ba-4acc-b522-5ff1fd6db7bf,125.118.49.233,Wuhan,Shanghai,Chrome,Adwords,/cart,cart
456456,46896,b7490f6d-63ba-438e-b514-976d3343385f,187.107.68.90,Beijing,Shanghai,Chrome,Adwords,/cart,cart
375211,54767,3d909c72-9d1e-4c66-9028-542beda2b0d9,39.255.175.206,Hefei,Shanghai,Other,Facebook,/cart,cart
1230270,14288,ae0f5175-d09f-4815-b041-5ec33b476384,90.104.161.150,Beijing,Shanghai,Chrome,Email,/cart,cart
751980,34302,ee0d2590-954e-4b99-af01-d61150159556,77.250.80.0,Yichun,Jiangsu,Chrome Mobile,Adwords,/cart,cart
365271,42127,d4f9f2d4-44ed-41e6-a3c8-e7c099811844,26.218.155.193,Rio de Janeiro,Rio de Janeiro,Chrome,Organic,/cart,cart
505382,85299,4132641d-54c0-496c-b338-7cdeb2dfd1e4,160.128.236.21,Marey-sur-Tille,Bourgogne-Franche-Comté,Chrome,Organic,/cart,cart
979149,65543,88e1250d-b780-4c33-99a8-da550aa8de10,36.2.88.9,Wonju City,Gangwon-do,Chrome,Adwords,/cart,cart
551639,19710,d3e37944-9bc0-4137-abeb-fa3cb40d0f3f,45.0.144.223,McLean,Virginia,Other,YouTube,/cart,cart
178999,30946,8aa149b9-aa71-43b8-b71f-6bc70a29d76d,31.177.75.98,Newcastle,New South Wales,Chrome,YouTube,/cart,cart
986281,28290,3fc8a714-efd9-4726-9b50-61f299eba287,95.192.220.112,Huainan,Anhui,Chrome,Facebook,/cart,cart
986288,2088,52003311-8d14-4922-9575-c25ec01596c5,26.229.239.35,Huainan,Anhui,Chrome Mobile,Email,/cart,cart
463455,97904,5fa4dbcd-986e-44b2-a734-4b9ce8ba43e3,3.241.37.36,Chengdu,Anhui,Chrome Mobile,Facebook,/cart,cart
1028455,1848,ff61081d-6789-40b6-b927-7997dd40d3e2,39.224.129.57,Coffs Harbour,New South Wales,Chrome Mobile,Email,/cart,cart
1119283,54691,bb70294f-6ec3-4bc6-a571-b0ec7cc6c16d,8.205.50.62,Duque de Caxias,Rio de Janeiro,Chrome,Adwords,/cart,cart
1119290,32491,71e97cd0-bfe1-43ae-8b0d-7d600a6c1642,44.73.214.29,Duque de Caxias,Rio de Janeiro,Firefox,Email,/cart,cart
1043468,34844,b2fe00ef-cdb0-4bee-a298-c6594ce112e9,20.118.46.248,Kunming,Shandong,Chrome Mobile,Email,/cart,cart
307932,83472,17d6bac7-8e40-4bf6-abeb-e2bc85662244,110.255.235.136,Linyi,Shandong,IE,Adwords,/cart,cart
1151940,51932,c24254fb-2695-4f6e-824a-f404b76744c6,204.102.0.162,Hillsborough,North Carolina,Firefox,Email,/cart,cart
368488,8430,6e198da4-0346-4d1c-9102-b87b3f54bf66,156.36.6.220,Apex,North Carolina,Firefox Mobile,Organic,/cart,cart
853159,19183,47a7fa1f-da71-416e-afca-1903f4e58608,152.56.165.123,Gastonia,North Carolina,Chrome,Email,/cart,cart
658064,94001,37ba03bd-bfdc-4327-90a7-8a0437a2cbfc,57.150.234.23,Fairview,North Carolina,Chrome Mobile,Email,/cart,cart
118709,91223,a2cd1c65-4c86-47ab-a071-4956584c4498,66.229.239.216,West Warwick,Rhode Island,Chrome,YouTube,/cart,cart
663256,26801,2538d2ae-0997-4a05-a86e-659aadaff440,189.196.240.79,Fuenlabrada,Comunidad de Madrid,Chrome Mobile,Email,/cart,cart
663239,63977,88e056dd-fb39-4724-a440-bb993dc764f2,215.165.8.187,Fuenlabrada,Comunidad de Madrid,Chrome,Adwords,/cart,cart
275405,52007,891b1b30-6e6e-4fea-a806-cc2e4799acce,96.162.166.145,Saquarema,Rio de Janeiro,Chrome,YouTube,/cart,cart
275437,23500,60176015-aa57-4d11-ae7d-8b2e6a6760c4,34.147.227.45,Saquarema,Rio de Janeiro,Safari Mobile,YouTube,/cart,cart
243087,42028,e16571fb-e192-49e0-b895-38ee313c101c,177.126.147.178,Vila Velha,Espírito Santo,Chrome Mobile,Facebook,/cart,cart
243104,49530,dd4e5959-fccc-4c02-95e8-50a836003e73,196.110.41.54,Vila Velha,Espírito Santo,Safari,Email,/cart,cart
714290,38637,61d8803d-3510-4d64-8616-7ebbf3b71ed9,87.167.30.106,Suqian,Shanxi,Chrome,Email,/cart,cart
714293,34891,61d8803d-3510-4d64-8616-7ebbf3b71ed9,87.167.30.106,Suqian,Shanxi,Chrome,Email,/cart,cart
244564,85165,69b3f9cf-32e7-487c-91c4-502a9dc05ebf,14.227.157.132,Beijing,Tianjin,Chrome,Email,/cart,cart
1300343,73446,dc74ccc2-67ba-4002-8667-ce25d080719a,4.202.234.166,Loganville,Georgia,Chrome Mobile,Adwords,/cart,cart
74736,50395,caca6b00-17c9-4562-8b82-451251c262f3,126.163.154.240,Atlanta,Georgia,Safari,Email,/cart,cart
74723,62481,bb4b1bfd-daab-4995-8df8-b0ea919b279e,68.240.141.227,Atlanta,Georgia,Chrome Mobile,Organic,/cart,cart
