rental_id,user_id,vehicle_id,rental_start_time,rental_end_time,pickup_location,dropoff_location,total_amount
b139d8e1b2,320be8068b,0d52304987,2024-02-28 08:05:00,2024-03-01 05:05:00,1497,6785,450.0
7afd60f6d3,320be8068b,975d72985c,2024-01-07 20:16:00,2024-01-09 21:16:00,5345,2608,2450.0
733a9361bc,8f31b734a6,0d9f0f0fb9,2024-01-07 09:36:00,2024-01-07 17:36:00,2546,5442,80.0
6e546b69dd,8f31b734a6,967fdab45e,2024-01-05 11:30:00,2024-01-07 04:30:00,8147,4380,2050.0
acc192b64a,8f31b734a6,32d58ea4b7,2024-03-06 18:19:00,2024-03-09 14:19:00,6290,8932,1360.0
bc6c8fa738,a764243e14,c4b821a7eb,2024-01-07 10:49:00,2024-01-10 07:49:00,1761,4591,3450.0
e0c26af9ff,a764243e14,93bb80e1fd,2024-03-11 08:48:00,2024-03-12 09:48:00,2815,8147,250.0
b18fea5336,a764243e14,64e61cb37a,2024-04-11 20:57:00,2024-04-13 08:57:00,1629,1745,1800.0
1aaf30c8e2,fcd7cd0194,920af4633d,2024-03-17 05:33:00,2024-03-19 07:33:00,2981,3466,500.0
7d05f05066,f187b2017e,fb34939ff6,2024-03-22 17:27:00,2024-03-25 00:27:00,5166,2863,550.0
95c8527d0b,52da2439c8,08a01888dd,2024-02-14 21:53:00,2024-02-17 02:53:00,9536,4922,1060.0
97bdcd04eb,02bd398e38,8443635c7a,2024-02-23 01:23:00,2024-02-25 14:23:00,2034,3311,3050.0
7284831f00,02bd398e38,43d773a69c,2024-05-20 12:43:00,2024-05-23 00:43:00,6609,6920,1200.0
26babaa7a5,02bd398e38,f1505fed87,2024-05-13 04:07:00,2024-05-14 10:07:00,3561,8597,1500.0
699352c857,d1eec018e1,a2682ea246,2024-01-21 20:06:00,2024-01-22 02:06:00,5984,5345,60.0
412400edf0,d1eec018e1,9ab9a0e6c8,2024-04-17 20:08:00,2024-04-17 21:08:00,3854,7660,50.0
01ff605c68,0eff4a723e,b0ded475a2,2024-03-30 03:30:00,2024-03-30 18:30:00,2620,2794,150.0
bfd00885b1,0eff4a723e,ca48f1fdc6,2024-04-10 15:30:00,2024-04-13 01:30:00,2238,3057,580.0
718c4e5744,d8dc1e8ac2,baf3063ee1,2024-03-17 05:58:00,2024-03-17 09:58:00,5889,1171,40.0
1de51e38f2,ba30d7b587,865d13e764,2024-02-07 00:33:00,2024-02-08 20:33:00,9810,4592,440.0
71e0320a1e,ba30d7b587,9ed16aa8d1,2024-01-27 21:28:00,2024-01-28 08:28:00,6036,8134,550.0
c9d27033a7,fe7e1ade05,87f5cba99b,2024-05-18 06:54:00,2024-05-19 20:54:00,6180,2132,380.0
96fa982dab,fe7e1ade05,7c562a4679,2024-01-21 07:14:00,2024-01-24 01:14:00,2172,7135,1320.0
86c03a2e2b,fe7e1ade05,53946cc0a8,2024-02-26 02:54:00,2024-02-26 08:54:00,5442,4592,60.0
cfc36d72c6,73fd7cf7ff,3fb845d7f3,2024-04-02 11:48:00,2024-04-03 01:48:00,5498,7734,140.0
da9522b611,e285692b6d,019d1fb860,2024-03-21 01:49:00,2024-03-22 18:49:00,5906,3216,410.0
5541956e71,e285692b6d,96cf4dc7cb,2024-04-20 06:46:00,2024-04-22 00:46:00,9713,8098,840.0
67769617e4,e285692b6d,e99b71734a,2024-05-03 17:49:00,2024-05-05 23:49:00,6131,3756,1080.0
02f0939e36,09a3882a3b,e29f1531a8,2024-03-21 09:18:00,2024-03-22 15:18:00,5984,1297,1500.0
519cd65d86,95ab1fffe1,eaad5ef310,2024-03-16 05:33:00,2024-03-17 19:33:00,2153,9488,380.0
015600ea1f,95ab1fffe1,7eddda335e,2024-01-20 00:34:00,2024-01-20 10:34:00,6290,8725,200.0
cb9a18beaf,95ab1fffe1,1e93886ca0,2024-05-03 06:36:00,2024-05-04 00:36:00,7305,6350,900.0
3b8cf3fa05,a11b99652e,924902c54d,2024-03-29 09:03:00,2024-03-31 12:03:00,6886,9918,510.0
b2df40380c,a11b99652e,c6ca5b2067,2024-04-05 16:33:00,2024-04-07 23:33:00,9863,8866,1100.0
331d93fbfb,904e4d5cbb,ab02b39e2f,2024-01-25 04:12:00,2024-01-25 06:12:00,2086,1158,40.0
d5302d335f,904e4d5cbb,294f608666,2024-04-08 23:57:00,2024-04-11 02:57:00,6609,7533,1020.0
cc0be08631,904e4d5cbb,ba10f00c57,2024-04-22 14:49:00,2024-04-24 01:49:00,2529,7111,1750.0
27d0bcf6c3,6310208851,140f7bf276,2024-02-21 21:05:00,2024-02-24 16:05:00,8001,2086,670.0
d720cba8b7,53a4822cc5,12020149fa,2024-03-27 13:14:00,2024-03-29 08:14:00,9458,4179,430.0
60fd4aff61,53a4822cc5,6690d26ca0,2024-02-27 13:27:00,2024-02-28 23:27:00,3216,9853,680.0
7a9697b671,53a4822cc5,d75e21f498,2024-05-04 03:36:00,2024-05-05 10:36:00,3108,1430,310.0
ab86563544,6402b3dd1a,5d11e1dcd7,2024-02-06 00:46:00,2024-02-06 23:46:00,2093,9384,460.0
9bc831878c,6402b3dd1a,66a4b245e7,2024-04-28 06:50:00,2024-05-01 06:50:00,6886,5705,1440.0
96f6172f9b,6402b3dd1a,6d854b323d,2024-04-22 14:43:00,2024-04-23 02:43:00,3028,9810,240.0
ae30311a58,a2158ae64f,936d4c5dfe,2024-03-30 15:20:00,2024-03-31 10:20:00,4591,1158,380.0
3548a7bf08,a2158ae64f,45472b36b7,2024-02-27 11:59:00,2024-02-29 17:59:00,7533,8779,1080.0
142c4a4d27,4812912b60,0b71879b58,2024-03-24 12:05:00,2024-03-25 12:05:00,2683,8332,240.0
515b9804fa,b3bb4a3664,172247655c,2024-01-07 19:47:00,2024-01-08 10:47:00,8281,8779,750.0
463384ff01,93e35d120b,678f9d97d4,2024-05-08 12:52:00,2024-05-09 15:52:00,8928,1505,540.0
6bb4c76f30,93e35d120b,1873097ae4,2024-02-29 02:59:00,2024-03-01 19:59:00,7925,9182,410.0
b31ae2b635,9b70e281e3,01b0bf6f06,2024-02-08 09:10:00,2024-02-09 23:10:00,8134,7385,1900.0
2f17e3a8f7,bb96f7913d,30e10a251c,2024-03-27 17:36:00,2024-03-29 01:36:00,2116,8147,640.0
8ac373e523,cfbac1d1bd,7c754f8288,2024-02-16 19:26:00,2024-02-17 07:26:00,9458,2093,240.0
f06fda65cc,1dfe5e51fc,abbf1cbda9,2024-04-28 04:54:00,2024-04-28 06:54:00,2390,3756,20.0
f0389424d9,801f73e4c4,00ece2e430,2024-03-30 19:16:00,2024-04-01 21:16:00,5149,8098,1000.0
8ea5e11716,e4e452965d,48ff2e4086,2024-02-08 03:02:00,2024-02-08 16:02:00,7305,3228,260.0
2da4c164b8,e4e452965d,840072e933,2024-01-05 14:44:00,2024-01-06 16:44:00,1655,6616,260.0
3f510b17b3,e4e452965d,0ff09253f9,2024-05-28 09:26:00,2024-05-30 15:26:00,9559,7147,1080.0
b8de393bb6,420a9d5944,c22c7e7af9,2024-04-29 16:59:00,2024-05-01 07:59:00,8705,1507,780.0
dc508fd711,420a9d5944,705ae3d465,2024-05-25 01:02:00,2024-05-26 14:02:00,2621,9211,740.0
ee51e37976,1810289286,5fd86fe66d,2024-04-09 03:56:00,2024-04-10 02:56:00,1154,9488,230.0
192b779a1d,1810289286,d3758016e5,2024-03-15 14:36:00,2024-03-18 02:36:00,8928,7752,1200.0
6f8dbdd070,1810289286,62360345b5,2024-04-26 16:45:00,2024-04-28 19:45:00,4737,4394,1020.0
b226b64ec4,4ba696156a,f7e611b8b6,2024-05-04 20:31:00,2024-05-07 14:31:00,7651,9865,1320.0
06c08e6529,4ba696156a,318f9b4a48,2024-02-04 11:20:00,2024-02-05 00:20:00,7651,6974,130.0
cebdfac5b1,4ba696156a,77eb51e602,2024-05-15 16:11:00,2024-05-17 19:11:00,9853,9297,1020.0
df9a192d30,838fc59df9,727d77144a,2024-03-15 20:14:00,2024-03-17 11:14:00,7660,4771,390.0
46bbdb13d9,838fc59df9,c933db8d02,2024-04-17 00:36:00,2024-04-19 13:36:00,1338,6576,610.0
0c134e2316,838fc59df9,b3604613dc,2024-03-21 20:40:00,2024-03-23 01:40:00,3487,7115,290.0
04351e394f,01a174edd0,3a7352ef9b,2024-05-07 22:45:00,2024-05-09 07:45:00,2754,8281,1650.0
