order_id,user_id,status,created_at,returned_at,shipped_at,delivered_at,num_of_item
81130,64915,Shipped,2024-06-01 10:12:00 UTC,,2024-06-01 19:01:00 UTC,,1
27509,21964,Shipped,2024-05-31 18:01:00 UTC,,2024-06-03 13:25:00 UTC,,1
27525,21978,Shipped,2024-06-01 10:52:00 UTC,,2024-06-01 19:11:00 UTC,,1
119179,95389,Shipped,2024-05-31 03:32:00 UTC,,2024-06-02 14:18:00 UTC,,1
20207,16103,Shipped,2024-05-31 10:16:00 UTC,,2024-06-01 15:50:00 UTC,,1
36290,28980,Shipped,2024-05-31 06:52:00 UTC,,2024-06-03 00:41:00 UTC,,1
59991,47933,Shipped,2024-06-01 11:49:00 UTC,,2024-06-04 04:59:00 UTC,,1
86677,69306,Shipped,2024-05-31 04:00:00 UTC,,2024-06-02 19:45:00 UTC,,1
96484,77236,Shipped,2024-05-31 07:03:00 UTC,,2024-06-03 05:01:00 UTC,,1
117056,93716,Shipped,2024-05-31 02:03:00 UTC,,2024-06-02 05:46:00 UTC,,1
21726,17335,Shipped,2024-06-01 09:41:00 UTC,,2024-06-01 23:42:00 UTC,,1
119752,95842,Shipped,2024-06-01 13:13:00 UTC,,2024-06-02 02:22:00 UTC,,1
31877,25469,Shipped,2024-06-01 03:43:00 UTC,,2024-06-03 03:17:00 UTC,,1
38643,30906,Shipped,2024-05-31 08:02:00 UTC,,2024-06-02 10:48:00 UTC,,1
90285,72220,Shipped,2024-05-31 05:13:00 UTC,,2024-06-02 17:52:00 UTC,,1
17431,13858,Shipped,2024-06-01 15:32:00 UTC,,2024-06-03 02:28:00 UTC,,1
123809,99087,Shipped,2024-06-01 16:49:00 UTC,,2024-06-01 18:45:00 UTC,,1
68581,54795,Shipped,2024-05-31 18:31:00 UTC,,2024-06-02 02:42:00 UTC,,1
163,137,Shipped,2024-06-01 12:38:00 UTC,,2024-06-01 13:19:00 UTC,,1
16062,12747,Shipped,2024-06-01 08:41:00 UTC,,2024-06-01 15:20:00 UTC,,1
12536,9932,Shipped,2024-05-31 13:54:00 UTC,,2024-06-01 15:53:00 UTC,,1
25793,20603,Shipped,2024-05-31 02:21:00 UTC,,2024-06-01 23:12:00 UTC,,1
85232,68176,Shipped,2024-05-31 00:17:00 UTC,,2024-06-02 23:31:00 UTC,,1
97399,77950,Shipped,2024-06-01 15:37:00 UTC,,2024-06-02 11:19:00 UTC,,1
19631,15630,Shipped,2024-05-31 02:56:00 UTC,,2024-06-01 01:55:00 UTC,,1
23851,19025,Shipped,2024-06-01 18:29:00 UTC,,2024-06-02 02:30:00 UTC,,1
45461,36370,Shipped,2024-06-01 08:48:00 UTC,,2024-06-03 17:40:00 UTC,,1
82661,66146,Shipped,2024-06-01 10:58:00 UTC,,2024-06-03 01:25:00 UTC,,1
45798,36628,Shipped,2024-05-31 05:50:00 UTC,,2024-06-02 07:37:00 UTC,,1
