id,order_id,user_id,days_since_prior_order,product_id,add_to_cart_order,reordered,order_timestamp,date
7,1948583,171390,30.0,24,3,1,2024-06-06 17:40:56,2024-06-06
8,1948583,171390,30.0,38,16,0,2024-06-06 17:40:56,2024-06-06
9,1948583,171390,30.0,86,21,1,2024-06-06 17:40:56,2024-06-06
10,1948583,171390,30.0,106,22,0,2024-06-06 17:40:56,2024-06-06
36,318831,63581,3.0,38,5,1,2024-06-06 04:07:30,2024-06-06
39,1627858,55771,30.0,93,7,0,2024-06-06 03:12:36,2024-06-06
40,1627858,55771,30.0,123,11,1,2024-06-06 03:12:36,2024-06-06
41,1627858,55771,30.0,107,13,1,2024-06-06 03:12:36,2024-06-06
42,1627858,55771,30.0,121,28,1,2024-06-06 03:12:36,2024-06-06
43,1627858,55771,30.0,63,29,1,2024-06-06 03:12:36,2024-06-06
49,88226,205233,8.0,62,4,1,2024-06-06 08:16:53,2024-06-06
50,1239705,164031,19.0,120,5,1,2024-06-06 00:59:43,2024-06-06
51,1239705,164031,19.0,120,6,1,2024-06-06 00:59:43,2024-06-06
56,1217902,85404,9.0,43,2,1,2024-06-06 12:49:51,2024-06-06
57,1217902,85404,9.0,115,8,1,2024-06-06 12:49:51,2024-06-06
58,1217902,85404,9.0,79,10,1,2024-06-06 12:49:51,2024-06-06
59,1217902,85404,9.0,115,15,1,2024-06-06 12:49:51,2024-06-06
60,1217902,85404,9.0,67,16,1,2024-06-06 12:49:51,2024-06-06
61,1217902,85404,9.0,34,19,1,2024-06-06 12:49:51,2024-06-06
62,1217902,85404,9.0,83,23,0,2024-06-06 12:49:51,2024-06-06
63,1217902,85404,9.0,4,27,1,2024-06-06 12:49:51,2024-06-06
64,1217902,85404,9.0,78,28,1,2024-06-06 12:49:51,2024-06-06
65,1217902,85404,9.0,107,29,1,2024-06-06 12:49:51,2024-06-06
66,1078741,101047,6.0,84,1,1,2024-06-06 21:56:44,2024-06-06
67,1078741,101047,6.0,64,9,0,2024-06-06 21:56:44,2024-06-06
68,1078741,101047,6.0,78,12,0,2024-06-06 21:56:44,2024-06-06
71,1614002,22104,3.0,91,2,1,2024-06-06 18:49:41,2024-06-06
72,1614002,22104,3.0,123,3,1,2024-06-06 18:49:41,2024-06-06
73,1614002,22104,3.0,43,6,1,2024-06-06 18:49:41,2024-06-06
74,1614002,22104,3.0,8,8,1,2024-06-06 18:49:41,2024-06-06
