order_num,order_id,user_id,order_timestamp,total_amount,date
54578,888017,199349,2024-06-07 20:22:28,17.39,2024-06-07
102950,1682257,41689,2024-06-07 22:45:13,21.09,2024-06-07
16660,274439,47313,2024-06-07 10:13:55,19.89,2024-06-07
172961,635338,89934,2024-06-07 06:36:41,5.0,2024-06-07
4081,1443020,170232,2024-06-07 13:38:32,16.16,2024-06-07
108691,1148849,102256,2024-06-07 12:40:29,12.3,2024-06-07
135915,1381862,115823,2024-06-07 07:39:10,5.0,2024-06-07
65331,564676,91043,2024-06-07 07:41:05,16.53,2024-06-07
169705,1342850,82999,2024-06-07 10:45:01,18.49,2024-06-07
50947,712366,174996,2024-06-07 03:44:08,7.18,2024-06-07
66262,515282,16215,2024-06-07 01:20:40,23.26,2024-06-07
46697,1284413,113355,2024-06-07 23:41:36,40.48,2024-06-07
59178,84758,187445,2024-06-07 23:07:51,5.0,2024-06-07
141071,54548,117049,2024-06-07 22:07:27,10.59,2024-06-07
42992,1083096,30752,2024-06-07 08:02:19,8.18,2024-06-07
96445,204738,61129,2024-06-07 22:28:21,7.57,2024-06-07
118855,19535,49497,2024-06-07 03:02:16,5.0,2024-06-07
87966,1605326,145820,2024-06-07 12:25:48,7.5,2024-06-07
150743,941290,199490,2024-06-07 04:09:18,7.55,2024-06-07
191922,303230,33023,2024-06-07 18:01:20,41.38,2024-06-07
106983,47751,177129,2024-06-07 12:46:04,19.08,2024-06-07
135001,1831507,195969,2024-06-07 05:16:32,35.97,2024-06-07
123703,1758493,121365,2024-06-07 06:21:29,5.0,2024-06-07
45662,244329,65088,2024-06-07 01:40:19,16.7,2024-06-07
44284,1570787,107181,2024-06-07 16:21:29,7.3,2024-06-07
144661,344486,83659,2024-06-07 11:27:40,34.24,2024-06-07
133341,450035,81186,2024-06-07 02:02:57,19.5,2024-06-07
16269,1318443,125232,2024-06-07 07:08:40,34.17,2024-06-07
187186,945236,123764,2024-06-07 04:21:58,19.1,2024-06-07
88370,1084771,196375,2024-06-07 08:30:43,7.57,2024-06-07
41600,1284743,104082,2024-06-07 02:11:55,6.79,2024-06-07
191886,456481,69437,2024-06-07 10:58:50,40.4,2024-06-07
162863,752241,144927,2024-06-07 14:50:53,16.16,2024-06-07
7885,997443,48953,2024-06-07 17:28:39,40.7,2024-06-07
77621,1685659,157258,2024-06-07 09:25:50,5.0,2024-06-07
68984,1829154,8459,2024-06-07 12:09:12,15.8,2024-06-07
137286,1525701,169998,2024-06-07 04:13:56,7.1,2024-06-07
