hour,lat,long,signal,network,operator,status,description,speed,satellites,precission,provider,activity,postal_code
00:01:16,41.67089,0.53407,2,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,4.0,51.0,gps,STILL,250236.0
00:01:47,41.71431,1.77029,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,2.0,128.0,gps,STILL,81786.0
00:01:59,41.44174,1.86907,11,orange,JAZZTEL,0,STATE_IN_SERVICE,0.2,5.0,25.0,gps,TILTING,80919.0
00:05:15,41.20896,1.55499,6,orange,Orange,0,STATE_IN_SERVICE,0.1,5.0,11.0,gps,TILTING,431634.0
00:06:54,41.44159,1.86879,10,orange,JAZZTEL,0,STATE_IN_SERVICE,0.3,3.0,19.0,gps,TILTING,80919.0
00:09:20,41.04247,0.73315,12,movistar,Movistar,0,STATE_IN_SERVICE,0.0,0.0,26.0,fused,STILL,431508.0
00:11:07,41.95519,2.64005,9,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,0.0,88.0,fused,TILTING,170084.0
00:11:15,41.67099,0.53379,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.2,6.0,9.0,gps,STILL,250236.0
00:11:33,41.60815,2.09291,51,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,1.0,20.0,gps,STILL,80517.0
00:36:35,41.60773,2.09341,29,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.2,1.0,46.0,gps,STILL,80517.0
00:39:58,41.71435,1.7698,7,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,1.0,64.0,gps,STILL,81786.0
00:40:49,41.294,1.77782,4,movistar,movistar,0,STATE_IN_SERVICE,0.0,1.0,16.0,gps,TILTING,81483.0
00:50:00,41.71445,1.76929,6,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.3,0.0,96.0,gps,STILL,81786.0
00:50:26,41.48865,2.13417,3,orange,Orange,0,STATE_IN_SERVICE,1.7,3.0,29.0,gps,UNKNOWN,82665.0
00:57:17,41.84139,2.24986,9,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,5.0,17.0,gps,ON_FOOT,82690.0
01:11:16,41.29094,1.98302,4,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,0.0,36.0,fused,STILL,80569.0
01:14:26,41.92356,2.3257,2,orange,Orange,0,STATE_IN_SERVICE,0.0,3.0,6.0,gps,STILL,82205.0
01:16:33,41.86381,2.65523,28,movistar,Movistar,0,STATE_IN_SERVICE,0.0,2.0,25.0,gps,STILL,171805.0
01:31:26,41.69197,2.49059,4,movistar,Movistar,0,STATE_IN_SERVICE,0.0,2.0,18.0,gps,STILL,82021.0
01:41:15,41.67128,0.53368,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,7.0,26.0,gps,STILL,250236.0
01:47:14,41.92372,2.32581,2,orange,Orange,0,STATE_IN_SERVICE,0.0,2.0,0.0,gps,STILL,82205.0
01:51:17,41.67109,0.53365,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.1,5.0,19.0,gps,STILL,250236.0
01:56:59,41.41996,2.22449,19,orange,Orange,0,STATE_IN_SERVICE,0.2,0.0,43.0,fused,STILL,81944.0
01:57:27,42.62897,1.11528,15,,,0,STATE_IN_SERVICE,0.0,0.0,24.0,fused,STILL,250864.0
01:59:19,41.42258,2.22174,22,orange,Orange,0,STATE_IN_SERVICE,9.5,0.0,43.0,fused,STILL,81944.0
02:01:17,41.67062,0.5333,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.4,1.0,22.0,gps,STILL,250236.0
02:11:18,41.6712,0.53384,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.5,4.0,13.0,gps,STILL,250236.0
02:51:15,41.67102,0.53373,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,5.0,27.0,gps,STILL,250236.0
02:53:14,41.26264,1.77963,11,movistar,Movistar,0,STATE_IN_SERVICE,0.0,0.0,51.0,fused,STILL,82310.0
